data;
var :           y          c        :=
1  1 1    6.3        6.3
1  1 2    6.98368    6.98368
1  1 3    7.3376     7.3376
1  2 1    6.3        6.3
1  2 2    6.81981    6.81981
1  2 3    7.09449    7.09449
1  3 1    6.3        6.3
1  3 2    6.65159    6.65159
1  3 3    6.84177    6.84177
2  1 1    8.05       8.05
2  1 2    8.73009    8.73009
2  1 3    9.07977    9.07977
2  2 1    8.05       8.05
2  2 2    8.56551    8.56551
2  2 3    8.83486    8.83486
2  3 1    8.05       8.05
2  3 2    8.39752    8.39752
2  3 3    8.58234    8.58234
3  1 1   10.2       10.2
3  1 2   10.8773    10.8773
3  1 3   11.2237    11.2237
3  2 1   10.2       10.2
3  2 2   10.7122    10.7122
3  2 3   10.9775    10.9775
3  3 1   10.2       10.2
3  3 2   10.5445    10.5445
3  3 3   10.7253    10.7253
4  1 1   12.9       12.9
4  1 2   13.5751    13.5751
4  1 3   13.9189    13.9189
4  2 1   12.9       12.9
4  2 2   13.4097    13.4097
4  2 3   13.6718    13.6718
4  3 1   12.9       12.9
4  3 2   13.2421    13.2421
4  3 3   13.4199    13.4199
5  1 1   16.3       16.3
5  1 2   16.9734    16.9734
5  1 3   17.315     17.315
5  2 1   16.3       16.3
5  2 2   16.8077    16.8077
5  2 3   17.0672    17.0672
5  3 1   16.3       16.3
5  3 2   16.6402    16.6402
5  3 3   16.8157    16.8157
6  1 1   20.7       20.7
6  1 2   21.372     21.372
6  1 3   21.7119    21.7119
6  2 1   20.7       20.7
6  2 2   21.206     21.206
6  2 3   21.4636    21.4636
6  3 1   20.7       20.7
6  3 2   21.0388    21.0388
6  3 3   21.2123    21.2123
7  1 1   26.2       26.2
7  1 2   26.8709    26.8709
7  1 3   27.2094    27.2094
7  2 1   26.2       26.2
7  2 2   26.7048    26.7048
7  2 3   26.9607    26.9607
7  3 1   26.2       26.2
7  3 2   26.5376    26.5376
7  3 3   26.7097    26.7097
8  1 1   33.1       33.1
8  1 2   33.77      33.77
8  1 3   34.1075    34.1075
8  2 1   33.1       33.1
8  2 2   33.6038    33.6038
8  2 3   33.8585    33.8585
8  3 1   33.1       33.1
8  3 2   33.4367    33.4367
8  3 3   33.6076    33.6076
9  1 1   41.9       41.9
9  1 2   42.5693    42.5693
9  1 3   42.9059    42.9059
9  2 1   41.9       41.9
9  2 2   42.403     42.403
9  2 3   42.6567    42.6567
9  3 1   41.9       41.9
9  3 2   42.236     42.236
9  3 3   42.406     42.406
10 1 1   53         53
10 1 2   53.6688    53.6688
10 1 3   54.0047    54.0047
10 2 1   53         53
10 2 2   53.5024    53.5024
10 2 3   53.7553    53.7553
10 3 1   53         53
10 3 2   53.3354    53.3354
10 3 3   53.5047    53.5047
11 1 1   67.15      67.15
11 1 2   67.8183    67.8183
11 1 3   68.1537    68.1537
11 2 1   67.15      67.15
11 2 2   67.6519    67.6519
11 2 3   67.9042    67.9042
11 3 1   67.15      67.15
11 3 2   67.485     67.485
11 3 3   67.6537    67.6537
12 1 1   85         85
12 1 2   85.668     85.668
12 1 3   86.0029    86.0029
12 2 1   85.0001    85.0001
12 2 2   85.5015    85.5015
12 2 3   85.7533    85.7533
12 3 1   85         85
12 3 2   85.3347    85.3347
12 3 3   85.503     85.503
;

